,BEGIN,END,PRINT,2,4,6,1,5,-3.65E-8,4.567,:=,FOR,TO,A,B,C,D,E,X,Y,I,HELLO,text1,hello_there,Strings_are_[X]_and_[Y],#,INTEGER,REAL,STRING,",",$
S,S -> BEGIN statement_list END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statement_list,,,statement_list -> statement st_li,,,,,,,,,statement_list -> statement st_li,,statement_list -> statement st_li,statement_list -> statement st_li,statement_list -> statement st_li,statement_list -> statement st_li,statement_list -> statement st_li,statement_list -> statement st_li,statement_list -> statement st_li,statement_list -> statement st_li,,,,,,statement_list -> statement st_li,statement_list -> statement st_li,statement_list -> statement st_li,,
statement,,,statement -> PRINT LIT,,,,,,,,,statement -> loop,,statement -> assignment,statement -> assignment,statement -> assignment,statement -> assignment,statement -> assignment,statement -> assignment,statement -> assignment,statement -> assignment,,,,,,statement -> declaration,statement -> declaration,statement -> declaration,,
declaration,,,,,,,,,,,,,,,,,,,,,,,,,,,declaration -> type ID_List,declaration -> type ID_List,declaration -> type ID_List,,
type,,,,,,,,,,,,,,,,,,,,,,,,,,,type -> INTEGER,type -> REAL,type -> STRING,,
ID_List,,,,,,,,,,,,,,ID_List -> ID idli,ID_List -> ID idli,ID_List -> ID idli,ID_List -> ID idli,ID_List -> ID idli,ID_List -> ID idli,ID_List -> ID idli,ID_List -> ID idli,,,,,,,,,,
assignment,,,,,,,,,,,,,,assignment -> ID := expression,assignment -> ID := expression,assignment -> ID := expression,assignment -> ID := expression,assignment -> ID := expression,assignment -> ID := expression,assignment -> ID := expression,assignment -> ID := expression,,,,,,,,,,
expression,,,,expression -> NUM,expression -> NUM,expression -> NUM,expression -> NUM,expression -> NUM,expression -> REAL_DIG,expression -> REAL_DIG,,,,expression -> ID,expression -> ID,expression -> ID,expression -> ID,expression -> ID,expression -> ID,expression -> ID,expression -> ID,expression -> LIT,expression -> LIT,expression -> LIT,expression -> LIT,,,,,,
loop,,,,,,,,,,,,loop -> FOR ID := NUM TO NUM statement,,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,ID -> A,ID -> B,ID -> C,ID -> D,ID -> E,ID -> X,ID -> Y,ID -> I,,,,,,,,,,
LIT,,,,,,,,,,,,,,,,,,,,,,LIT -> HELLO,LIT -> text1,LIT -> hello_there,LIT -> Strings_are_[X]_and_[Y],,,,,,
NUM,,,,NUM -> 2,NUM -> 4,NUM -> 6,NUM -> 1,NUM -> 5,,,,,,,,,,,,,,,,,,,,,,,
REAL_DIG,,,,,,,,,REAL_DIG -> -3.65E-8,REAL_DIG -> 4.567,,,,,,,,,,,,,,,,,,,,,
st_li,,st_li -> #,st_li -> statement st_li,,,,,,,,,st_li -> statement st_li,,st_li -> statement st_li,st_li -> statement st_li,st_li -> statement st_li,st_li -> statement st_li,st_li -> statement st_li,st_li -> statement st_li,st_li -> statement st_li,st_li -> statement st_li,,,,,,st_li -> statement st_li,st_li -> statement st_li,st_li -> statement st_li,,
idli,,,idli -> #,,,,,,,,,idli -> #,,idli -> #,idli -> #,idli -> #,idli -> #,idli -> #,idli -> #,idli -> #,idli -> #,,,,,,idli -> #,idli -> #,idli -> #,"idli -> , ID idli",
